"order_id","order_item_id","product_id","seller_id","shipping_limit_date","price","freight_value"
"00c9474e-0334-f7a4-ffc8-c3a8bd21a51e",1,"4b265308-8591-de36-2e6b-a85b4a474c75","610f72e4-07cd-d7ca-aa2f-8167b0163fd8","2018-05-10 15:50:46","1050.61","25.13"
"012f2c4c-a09b-101a-73e1-8957c3294cd6",1,"a9e9edb1-bcac-585b-fbfa-381ce40e5d99","06532f10-2827-04ef-4c69-168b914b77be","2017-05-11 22:35:11","1820.00","81.62"
"02014f24-95ee-f0e8-6961-6829d481d743",1,"43cc8e4d-981b-c04b-9d78-b12e8a908d41","6061155a-ddc1-e54b-4cfb-51c1c2a32ad8","2018-08-24 11:05:25","1240.00","102.63"
"02058d1c-3b82-5765-a4ec-45968b8a1c97",1,"d05d4a74-30d1-2933-67ba-2ffbedcdef05","54065e9a-ef7e-9e9c-2dc2-3b7594db021a","2017-06-02 02:50:28","1799.00","27.34"
"028558cd-dca3-32b4-0b4a-c4cb77407edf",1,"a233df9a-388d-27db-dfd3-1731d4236db0","784ba75d-d9d2-0200-c4ca-ed3d7a77141a","2017-07-04 10:35:09","2649.99","134.17"
"029c5454-13b1-0a6b-d754-0401f6eef0a3",1,"8d4e9226-5a16-e69a-1e1d-76e67e46d72f","54219883-e72a-ad86-9adf-b2a54b7bfa0f","2018-07-17 09:30:15","1350.00","294.76"
"02fab07a-655c-e404-330d-65b508f32d9e",1,"63c4a70e-0a12-b4bd-9475-fca9e9937e76","d66c305a-faec-317e-bee5-52073a674429","2017-05-25 14:55:17","122.99","164.98"
"033cec9a-46b0-dd28-fc10-c800f9f3d878",1,"27535386-be73-62e3-6d9e-78c2afb8c0e5","94144541-854e-298c-2d97-6cb893b81343","2017-08-03 12:05:29","1199.90","26.94"
"03572de4-ee05-98b0-0c48-f6de965fcf78",1,"e303dfa6-1ada-1f08-23b4-775f192606b3","058cb5ae-b36d-7c0f-cae2-0fc85d5e0a59","2018-08-01 14:04:22","148.50","165.32"
"0393dfaf-21e9-66fd-adf6-98bd0856ecc3",1,"25292482-a61c-b329-8df8-dbe15ea69daf","edb1ef5e-36e0-c8cd-84eb-3c9b003e486d","2017-12-14 10:50:04","1149.65","22.80"
"03a31212-6d49-8521-7afe-f2625df60af4",1,"16c4e87b-98a9-370a-9cbc-3a4658a3f45b","d23019c8-4ffa-e2d5-ef22-70367b8605fc","2018-04-17 17:50:18","1890.00","73.14"
"03b31f54-9c27-d03b-ed25-fc42ddb46138",1,"0433830c-aca2-2b01-a0f4-77d31307b043","ba90964c-ff9b-9e0e-6f32-b23b82465f7b","2018-06-14 10:30:51","1999.00","46.47"
"03caa2c0-8211-6e1d-31e6-7e9ae3700499",1,"5769ef0a-2391-14ac-3a85-4af00df129e4","b37c4c02-bda3-161a-7546-a4e6d222d5b2","2017-10-06 15:28:20","1680.00","28.01"
"03caa2c0-8211-6e1d-31e6-7e9ae3700499",2,"5769ef0a-2391-14ac-3a85-4af00df129e4","b37c4c02-bda3-161a-7546-a4e6d222d5b2","2017-10-06 15:28:20","1680.00","28.01"
"03caa2c0-8211-6e1d-31e6-7e9ae3700499",3,"5769ef0a-2391-14ac-3a85-4af00df129e4","b37c4c02-bda3-161a-7546-a4e6d222d5b2","2017-10-06 15:28:20","1680.00","28.01"
"03caa2c0-8211-6e1d-31e6-7e9ae3700499",4,"5769ef0a-2391-14ac-3a85-4af00df129e4","b37c4c02-bda3-161a-7546-a4e6d222d5b2","2017-10-06 15:28:20","1680.00","28.01"
"03caa2c0-8211-6e1d-31e6-7e9ae3700499",5,"5769ef0a-2391-14ac-3a85-4af00df129e4","b37c4c02-bda3-161a-7546-a4e6d222d5b2","2017-10-06 15:28:20","1680.00","28.01"
"03caa2c0-8211-6e1d-31e6-7e9ae3700499",6,"5769ef0a-2391-14ac-3a85-4af00df129e4","b37c4c02-bda3-161a-7546-a4e6d222d5b2","2017-10-06 15:28:20","1680.00","28.01"
"03caa2c0-8211-6e1d-31e6-7e9ae3700499",7,"5769ef0a-2391-14ac-3a85-4af00df129e4","b37c4c02-bda3-161a-7546-a4e6d222d5b2","2017-10-06 15:28:20","1680.00","28.01"
